
[br01 BR New London 3.600000]
<跳跃>
BR Manchester: 3G (2.1, 1.4) (79978, -52343) jumpgate 
RH Bremen: 6E (1.5, 1.5) (6000, 31000) jumphole 
LI Alaska: 5F (1.0, 2.2) (40500, 0) jumphole 
<基地>
LI14_Sun1: 5E (1.0, 2.8) (22000, 0) sun_2000 
LI14_planet_1: 6D (1.2, 2.7) (-3620, 27247) planet_moonblu_2000 
LI14_planet_2: 5E (1.4, 1.7) (9000, 5000) planet_rckbrn_2000 
LI14_planet_3: 3D (2.4, 2.4) (-8000, -32000) planet_ice_blue_2500 
LI14_planet_4: 3D (2.1, 1.8) (-14679, -35886) planet_ice_1000 
LI14_02: 6E (1.0, 2.2) (15073, 25295) l_dreadnought 
LI16_02: 3F (1.8, 1.7) (34300, -40000) space_police01 
LI16_gasminerold_02: 3F (1.8, 1.7) (34300, -40274) gas_miner_sat 
LI16_space_tanksx4_01: 3F (1.8, 1.7) (34300, -39902) space_tanksx4 
LI16_space_tanks4_01: 3F (1.8, 1.7) (34300, -40016) space_tanks4 
LI16_space_habitat_wide_02: 3F (1.8, 1.7) (34300, -39902) space_habitat_wide 
LI14_dsy_static_assaultfrigate_01: 3F (1.8, 1.8) (34900, -40137) dsy_static_assaultfrigate 
LI14_dsy_static_assaultfrigate_02: 3F (1.8, 1.7) (33600, -40137) dsy_static_assaultfrigate 
Rh05_03: 5C (2.4, 1.8) (-40000, 18000) miningbase_small_ice 
LI14_suprise_li_elite_01: 5C (1.5, 1.1) (-49059, 6470) suprise_li_elite 
LI14_suprise_li_elite_02: 6C (1.7, 2.3) (-33707, 34150) suprise_li_elite 
LI14_suprise_li_elite_03: 5D (1.2, 2.3) (-8959, 3073) suprise_li_elite 
LI14_suprise_rh_elite_01: 5C (2.4, 1.8) (-39460, 17542) suprise_rh_elite 
LI14_suprise_rh_elite_03: 3D (2.6, 2.0) (-12500, -30000) suprise_rh_elite 
LI14_suprise_rh_elite_05: 4B (2.4, 2.5) (-55871, -7858) suprise_rh_elite 
LI14_suprise_rh_elite_04: 5C (1.2, 1.7) (-41578, 2853) suprise_rh_elite 
LI14_suprise_rh_elite_02: 5E (2.9, 1.5) (6873, 23295) suprise_rh_elite 

[li15 LI Virginia (LI Navy) 2.000000]
<跳跃>
LI Texas: 3E (1.4, 1.8) (8137, -36383) jumpgate 
LI Alaska: 3C (1.2, 1.6) (-34369, -37811) jumphole 
LI Texas: 6B (1.4, 2.7) (-43000, 24000) jumphole 
LI New Hampshire: 2F (2.3, 1.8) (27676, -47000) jumphole 
<基地>
LI15_Sun1: 5E (1.0, 1.0) (0, 0) sun_2000 
LI15_Sun2: 8G (1.0, 1.3) (42919, 60355) sun_2000 
LI15_planet_ronoake: 4B (2.9, 2.6) (-43501, -1346) planet_gasredcld_5000 
LI15_planet_hampton: 4G (3.0, 1.2) (42469, -188) planet_desored_2000 
LI15_planet_columbia: 7E (1.4, 1.5) (5351, 44000) planet_earthgrncld_4000 
LI15_planet_reston: 8H (1.5, 1.5) (64914, 65449) planet_moonred_1500 
LI15_dsy_static_assaultfrigate_07: 3C (1.2, 1.5) (-35027, -37851) dsy_static_assaultfrigate 
LI15_dsy_static_assaultfrigate_08: 3C (1.2, 1.6) (-33646, -37811) dsy_static_assaultfrigate 
LI13_01: 3E (1.6, 1.4) (4500, -33500) dsy_trade_station01 
LI13_02: 2F (2.0, 2.8) (38000, -50000) l_dreadnought 
LI13_04: 4F (2.7, 2.8) (38365, -3403) space_shipping01 
LI13_04_spacetank_01: 4F (2.6, 2.8) (38199, -3543) space_tankl2x2 
LI13_04_shipyard_01: 4F (2.7, 2.9) (38576, -3226) shipyard 
LI13_04_shipyard_02: 4F (2.7, 2.9) (38576, -3226) shipyard 
LI13_04_solarpan_01: 4F (2.6, 2.8) (37873, -3816) space_solar_pnl 
LI13_04_habitat_01: 4F (2.6, 2.8) (37948, -3753) space_habitat_wide 
LI15_01: 4F (3.0, 2.5) (34801, -493) outpost 
LI15_01b: 4F (3.0, 2.6) (35720, -492) space_shipping01 
LI15_space_solar_pnl_09: 4F (3.0, 2.6) (36321, -492) space_solar_pnl 
LI15_space_solar_pnl_10: 4F (3.0, 2.5) (35078, -492) space_solar_pnl 
LI15_space_habitat_wide_03: 4F (3.0, 2.5) (34976, -492) space_habitat_wide 
LI15_02: 3C (2.2, 2.7) (-23475, -27602) l_dreadnought 
LI15_03: 6G (3.0, 2.2) (51753, 39842) space_police01 
LI15_space_arch_chunk3a_01: 6G (3.0, 2.2) (51753, 39840) space_arch_chunk3a 
LI15_space_industrial_01: 6G (2.9, 2.2) (51749, 39088) space_industrial 
LI15_space_industrial_02: 7G (1.0, 2.2) (51750, 40050) space_industrial 
LI15_space_industrial01_01: 7G (1.1, 2.2) (51747, 40591) space_industrial01 
LI15_space_industrial_03: 6G (3.0, 2.2) (51750, 39632) space_industrial 
LI15_space_industrial_04: 7G (1.1, 2.2) (51749, 40592) space_industrial 
LI15_space_industrial_05: 6G (3.0, 2.2) (51753, 39842) space_industrial 
LI15_space_industrial01_02: 6G (2.9, 2.2) (51748, 39088) space_industrial01 
LI15_space_industrial01_03: 6G (3.0, 2.2) (51556, 39843) space_industrial01 
LI15_space_industrial01_04: 6G (3.0, 2.2) (51943, 39843) space_industrial01 
LI15_space_tankl4x4_02: 6G (2.9, 2.2) (51504, 39331) space_tankl4x4 
LI15_space_habitat_wide_01: 6G (3.0, 2.1) (51383, 39843) space_habitat_wide 
LI15_space_habitat_wide_02: 6G (3.0, 2.2) (52125, 39843) space_habitat_wide 
LI15_space_solar_plant_01: 6G (3.0, 2.2) (51761, 39842) space_solar_plant 
LI15_space_dome_01: 6G (3.0, 2.2) (52123, 39843) space_dome 
LI15_space_dome_02: 6G (3.0, 2.1) (51382, 39843) space_dome 
LI15_baxter_hazard_01: 6G (3.0, 2.2) (51754, 39847) baxter_hazard 
LI15_space_industrial02_01: 6G (3.0, 2.2) (51756, 39843) space_industrial02 
LI15_shipyard_01: 6G (3.0, 2.1) (50942, 39843) shipyard 
LI15_space_tankl4x4_03: 7G (1.0, 2.2) (51990, 40348) space_tankl4x4 
LI15_shipyard_02: 6G (3.0, 2.3) (52556, 39843) shipyard 
LI15_track_ring_01: 7G (1.0, 2.2) (51756, 40014) track_ring 
LI15_track_ring_02: 6G (3.0, 2.2) (51756, 39666) track_ring 
LI15_mplatform_01: 7G (1.0, 2.2) (52192, 40146) mplatform 
LI15_rh_battleship_debris_frnt_01: 7G (1.0, 2.1) (50954, 40015) rh_battleship_debris_frnt 
LI15_rh_battleship_debris_rear_01: 6G (3.0, 2.1) (50943, 39625) rh_battleship_debris_rear 
LI15_rh_cruiser_debris_01: 6G (3.0, 2.1) (50945, 39854) rh_cruiser_debris 
LI15_space_tanksx4_01: 6G (3.0, 2.1) (51382, 39843) space_tanksx4 
LI15_space_tanksx4_02: 6G (3.0, 2.2) (52124, 39843) space_tanksx4 
LI15_mplatform_02: 6G (3.0, 2.1) (51301, 39533) mplatform 
LI15_space_dome_03: 6G (2.9, 2.2) (52124, 39482) space_dome 
LI15_space_dome_04: 7G (1.0, 2.1) (51382, 40203) space_dome 
LI15_dsy_nomad_lair_generator_01: 6G (3.0, 2.2) (51761, 39842) dsy_nomad_lair_generator 
LI15_04: 6E (2.9, 1.9) (8922, 38516) smallstation1 
LI15_04b: 6E (2.8, 2.0) (9903, 38475) space_shipping01 
LI15_04c: 6E (2.8, 1.9) (8559, 37602) space_shipping01 
LI15_shipyard_2x_01: 6E (2.8, 2.0) (9979, 38359) shipyard_2x 
LI15_shipyard_2x_02: 6E (2.7, 1.9) (8634, 37488) shipyard_2x 
LI15_shipyard_05: 6E (2.8, 1.8) (8489, 38322) shipyard 
LI15_shipyard_07: 6E (2.9, 1.9) (8933, 38500) shipyard 
LI15_shipyard_08: 6E (2.9, 1.9) (9274, 38832) shipyard 
LI15_space_tankl4x4_01: 6E (2.8, 1.8) (8077, 38055) space_tankl4x4 
LI15_space_tankl4x4_04: 6E (2.9, 2.0) (9688, 39101) space_tankl4x4 
LI15_space_industrial_06: 6E (2.8, 1.8) (8334, 38222) space_industrial 
LI15_space_industrial_07: 6E (2.9, 1.9) (9429, 38933) space_industrial 
LI15_space_industrial02_06: 6E (2.9, 1.9) (8828, 38665) space_industrial02 
LI15_space_industrial02_07: 6E (2.9, 1.9) (8827, 38665) space_industrial02 
LI16_01: 7E (1.2, 1.2) (2000, 41647) outpost 
LI16_space_industrial_01: 7E (1.1, 1.2) (2000, 40947) space_industrial 
LI16_space_solar_plant_01: 7E (1.1, 1.2) (2000, 40947) space_solar_plant 
LI16_space_tankl4_01: 7E (1.1, 1.2) (2000, 41477) space_tankl4x4 
LI16_space_habitat_wide_03: 7E (1.1, 1.2) (2000, 41277) space_habitat_wide 
LI16_com_sat_01: 5E (1.3, 1.1) (500, 3100) com_sat 
LI16_03: 7E (1.2, 1.2) (2000, 42274) space_mining01 
LI16_shipyard_01: 7E (1.2, 1.2) (1753, 41829) shipyard 
LI16_shipyard_02: 7E (1.2, 1.2) (2247, 41829) shipyard 
LI16_dsy_li_recon_cruiser_01: 7E (1.2, 1.2) (2247, 41829) dsy_li_recon_cruiser 
LI16_space_industrial_02: 7E (1.2, 1.2) (2000, 41647) space_industrial 
LI16_space_industrial_03: 7E (1.2, 1.2) (2247, 41647) space_industrial 
LI16_space_industrial_04: 7E (1.2, 1.2) (1753, 41647) space_industrial 
LI16_mplatform_01: 7E (1.2, 1.2) (2000, 41879) mplatform 
LI15_dsy_static_assaultfrigate_05: 6E (2.4, 2.1) (11140, 34251) dsy_static_assaultfrigate 
LI15_dsy_static_assaultfrigate_06: 6E (2.5, 2.2) (11977, 34760) dsy_static_assaultfrigate 
LI15_dsy_static_assaultfrigate_09: 3C (1.9, 2.2) (-28051, -31007) dsy_static_assaultfrigate 
LI15_ast_icecrystal_largeA_01: 3C (1.1, 1.5) (-34735, -38504) ast_icecrystal_largeA 

[li16 LI Ellesmere (LSF) 2.000000]
<跳跃>
BW Sigma-17: 4E (1.0, 2.6) (16218, -19674) jumphole_light 
BW Sigma-59 (GMG): 3D (1.8, 2.9) (-1218, -31674) jumphole_light 
KU Honshu: 4D (2.4, 1.6) (-14017, -6160) jumphole 
RH Luneburg (Bundschuh): 6D (2.0, 2.0) (-9886, 29751) jumphole 
<基地>
LI16_Sun1: 5E (1.0, 1.0) (0, 0) sun_2000 
LI16_Sun2: 5D (2.2, 1.8) (-12500, 12500) sun_2000 
LI16_pl_earthsnwcld: 5F (1.0, 1.5) (25017, 160) planet_earthsnwcld_2500 
LI16_pl_gasgrncld: 4C (1.1, 2.8) (-22017, -19160) planet_gasgrncld_5000 
LI16_pl_ice_blue: 5F (1.9, 1.9) (29017, 9160) planet_ice_blue_800 
LI16_pl_icemoon: 4C (2.1, 1.5) (-35017, -8660) planet_icemoon_800 
BW12_01: 7E (1.0, 2.5) (15017, 40051) space_factory01 
BW12_01_dsy_nomad_city_platform_inner: 6E (2.9, 2.5) (15017, 39321) dsy_nomad_city_platform_inner 
BW12_01_lair_generator_1: 6E (3.0, 2.5) (14610, 39551) dsy_nomad_lair_generator 
BW12_01_lair_generator_2: 6E (3.0, 2.5) (15430, 39551) dsy_nomad_lair_generator 
BW69_03: 3E (1.8, 2.6) (16289, -32500) r_battleship 
KU08_01: 3C (2.8, 2.2) (-28096, -22049) dsy_dockable_corsair_battleship 
LI16_ast_mineable_largeB_1: 3E (2.4, 1.2) (1789, -25623) ast_mineable_largeB 
LI16_ast_mineable_largeA_1: 3D (1.7, 2.9) (-718, -32674) ast_mineable_largeA 
LI16_ast_mineable_largeA_2: 3E (2.1, 1.6) (6383, -28667) ast_mineable_largeA 
LI16_ast_mineable_largeB_2: 3E (2.2, 1.6) (6383, -27667) ast_mineable_largeB 
LI16_debris_med02_2: 3E (2.2, 1.7) (6983, -27667) debris_med02 
LI16_debris_med01_1: 3E (2.1, 1.6) (6383, -28667) debris_med01 
LI16_rh_cruiser_debris_frnt: 4D (2.8, 1.2) (-18050, -2442) rh_cruiser_debris_frnt 
LI16_rh_cruiser_debris: 4D (2.7, 1.4) (-16450, -3342) rh_cruiser_debris_rear 
LI16_suprise_rh_elite_01: 5D (1.8, 1.8) (-11950, 7542) suprise_rh_elite 
LI16_suprise_rh_elite_02: 5D (1.3, 1.4) (-15950, 2542) suprise_rh_elite 
LI16_suprise_rh_elite_03: 5D (1.3, 1.2) (-17950, 3442) suprise_rh_elite 
LI16_suprise_co_elite_01: 3F (2.6, 1.1) (21075, -23564) suprise_co_elite 

[li17 LI Kansas 1.200000]
<跳跃>
NO Unknown (Kansas): 0H (2.0, 2.2) (43317, -66041) dsy_nomad_ancient_gate_broken 
LI Texas: 6I (1.2, 1.8) (52597, 13134) jumphole 
LI PENNSYLVANIA: 0E (2.6, 1.3) (1653, -62190) jumphole 
IW Vespucci (Hellfire Legion): 7? (2.2, 2.7) (-73757, 31242) jumphole 
<基地>
LI17_Sun1: 5E (1.0, 1.0) (0, 0) sun_2000 
LI17_Sun2: -1C (2.5, 2.5) (-15000, -75000) sun_1000 
LI17_planet_1: 2E (1.8, 2.9) (11614, -31340) planet_gasgrncld_5000 
LI17_planet_2: 7A (2.2, 2.9) (-48757, 31242) planet_watdrkcld_4000 
LI17_planet_3: -1D (3.0, 1.1) (-11653, -72190) planet_icemoon_1500 
LI17_planet_4: 6A (1.9, 1.6) (-56335, 17213) planet_ice_1000 
LI17_planet_5: 10B (2.2, 2.4) (-27718, 67225) planet_desorgrck_2000 
LI17_planet_6: 11B (1.4, 1.7) (-31718, 74225) planet_crater_800 
IW08_space_dome_01: 2F (2.9, 1.1) (12351, -24549) space_dome 
IW08_space_dome_02: 2F (2.9, 1.1) (12895, -24549) space_dome 
IW08_gas_collector_01: 2C (1.5, 2.3) (-16055, -33007) gas_collector 
BW21_02: 10C (1.5, 1.0) (-23718, 63225) co_base_ice_large01 
BW58_01: 3I (2.9, 1.6) (51597, -12834) miningbase_small_rock 
LI17_Roid_Miner_01: 1A (1.8, 2.1) (-53404, -43169) dsy_roid_miner_debris 
LI17_space_industrial_dmg_01: 2B (2.7, 2.1) (-29248, -25512) junction_wreck 
LI17_suprise_ge_fighter6_01: 6I (2.3, 2.9) (59242, 20024) suprise_ge_fighter6 
LI17_suprise_bw_elite2_01: 0H (2.4, 2.8) (46917, -63616) suprise_bw_elite2 
LI17_suprise_bw_freighter_01: 10@ (1.3, 1.4) (-69505, 61778) suprise_bw_freighter 
LI17_suprise_li_elite_01: 1A (2.4, 1.8) (-43437, -39645) suprise_li_elite 
LI17_suprise_pi_elite_01: 11H (2.7, 1.5) (39211, 81942) suprise_pi_elite 
LI17_suprise_ge_csv_1: 4J (2.2, 1.3) (61597, -4834) suprise_ge_csv 

[li18 LI Puerto Rico (Junkers) 2.000000]
<跳跃>
LI New Hampshire: 3F (1.9, 1.9) (28969, -30580) jumphole_light 
IW Bering: 6E (1.4, 2.9) (18506, 24499) jumphole_light 
<基地>
LI18_Sun1: 5E (1.0, 1.0) (0, 0) sun_2000 
LI18_planet_1: 4F (1.6, 1.3) (23198, -14285) planet_watblucld_3000 
LI18_planet_2: 4C (1.9, 2.5) (-25204, -11376) planet_crater_800 
LI18_planet_3: 4B (2.9, 2.8) (-41577, -536) planet_neutron_800 
LI18_02: 4F (2.0, 1.6) (26288, -9847) space_mining01 
LI18_02_dsy_basic_strut: 4F (2.0, 1.6) (26092, -9582) dsy_basic_strut 
LI18_02_space_habitat_tall: 4F (2.0, 1.6) (26288, -9847) space_habitat_tall 
LI18_02_spce_industrial: 4F (2.0, 1.7) (26724, -10098) space_industrial 
LI18_02_debris_med01: 4F (2.0, 1.6) (26348, -10490) debris_med01 
LI18_02_space_tankl2: 4F (2.0, 1.6) (26426, -9927) space_tankl2 
LI18_02_space_solar_pnl: 4F (2.1, 1.6) (25910, -9320) space_solar_pnl 
LI18_02_mplatform_2: 4F (2.0, 1.6) (26068, -9720) mplatform 
LI18_02_mplatform_3: 4F (2.0, 1.6) (26416, -9625) mplatform 
LI18_02_mplatform_4: 4F (2.1, 1.6) (25709, -9213) mplatform 
LI18_02_mplatform_5: 4F (2.0, 1.7) (26944, -9962) mplatform 
LI18_02_mplatform_6: 4F (2.0, 1.7) (26715, -10359) mplatform 
LI18_02_suprise_ge_csv_1: 4F (2.1, 1.6) (25712, -9284) suprise_ge_csv 
LI18_02_suprise_ge_csv_2: 4F (2.0, 1.7) (26874, -9970) suprise_ge_csv 
LI18_02_space_solar_pnl_2: 4F (2.0, 1.7) (26724, -10097) space_solar_pnl 
LI18_02_dsy_habitat_pods: 4F (2.1, 1.6) (25907, -9326) dsy_habitat_pods 
LI18_02_mplatform: 4F (2.0, 1.7) (26970, -10241) mplatform 
LI18_02_depot_boron: 4F (2.0, 1.6) (26023, -9779) depot_boron 
LI18_02_depot_beryllium: 4F (2.0, 1.6) (25924, -9722) depot_beryllium 
LI18_02_scrap_metal: 4F (2.0, 1.6) (26119, -9835) depot_scrap_metal 
LI18_03: 2E (2.6, 2.7) (16795, -43758) space_police01 
LI18_04: 3E (2.4, 1.8) (7624, -26087) space_factory02 
LI18_shipyard_2x_01: 3E (2.3, 1.7) (7118, -26704) shipyard_2x 
LI18_shipyard_2x_02: 3E (2.5, 1.7) (7118, -25472) shipyard_2x 

[no01 NO Unknown (Kansas) 2.000000]
<跳跃>
0
<基地>
0

[rh01 RH New Berlin 3.600000]
<跳跃>
RH Hamburg: 2E (1.7, 1.1) (1285, -95773) jumpgate 
RH Stuttgart: 5B (2.1, 1.9) (-91648, 18938) jumpgate 
RH Frankfurt: 4G (2.1, 2.1) (92421, -16577) jumpgate 
RH Dresden: 7D (2.2, 3.0) (-825, 92878) jumpgate 
RH Hamburg: 3C (1.4, 1.9) (-55211, -64708) jumphole 
RH Dresden: 6D (2.2, 1.5) (-27572, 57524) jumphole 
<基地>
Rh01_Sun: 5E (1.0, 1.0) (0, 0) sun_1000 
Rh01_01: 5F (1.7, 2.0) (53632, 12557) planet_icelndwat_3000 
Rh01_moon_potsdam: 4F (2.9, 2.1) (54927, -2336) planet_crater_1000 
Rh01_dock_ring_1: 5F (1.5, 1.9) (51956, 9796) dock_ring 
Rh01_docking_fixture_1: 5F (1.5, 1.9) (51927, 9747) docking_fixture 
Rh01_02: 5F (1.3, 1.8) (51000, 5500) space_factory01 
Rh01_02_rh_battleship: 5F (1.3, 1.9) (51900, 5700) r_battleship 
Rh01_02_space_industrial_1: 5F (1.3, 1.9) (51494, 5075) space_industrial 
Rh01_02_space_industrial_2: 5F (1.3, 1.9) (51494, 5925) space_industrial 
Rh01_02_hab_1: 5F (1.3, 1.9) (51494, 5925) dsy_research_habitat 
Rh01_02_hab_2: 5F (1.3, 1.9) (51494, 5075) dsy_research_habitat 
Rh01_02_shipyard_1: 5F (1.3, 1.9) (51700, 5925) shipyard 
Rh01_02_shipyard_2: 5F (1.3, 1.9) (51700, 5075) shipyard 
Rh01_02_shipyardx2_1: 5F (1.3, 1.9) (51670, 5650) shipyard_2x 
Rh01_02_shipyardx2_2: 5F (1.3, 1.9) (51670, 5350) shipyard_2x 
Rh01_03: 5F (1.3, 2.0) (54000, 5500) space_factory01 
Rh01_03_1: 5F (1.4, 1.9) (52490, 6960) space_factory02 
Rh01_03_2: 5F (1.2, 1.9) (52500, 4050) space_mining01 
Rh01_03_space_industrial_1: 5F (1.4, 1.9) (51879, 6310) space_industrial01 
Rh01_03_mplatform_1: 5F (1.4, 1.9) (52035, 6455) mplatform 
Rh01_03_hab_1: 5F (1.4, 1.9) (52030, 6460) dsy_research_habitat 
Rh01_03_space_tankl4_1: 5F (1.4, 1.9) (52490, 6960) space_tankl4x4 
Rh01_03_space_industrial_2: 5F (1.3, 1.9) (51879, 4690) space_industrial02 
Rh01_03_space_industrial_3: 5F (1.3, 1.9) (51879, 4690) space_industrial01 
Rh01_03_hab_2: 5F (1.3, 1.9) (52500, 4689) dsy_research_habitat 
Rh01_03_space_industrial_4: 5F (1.4, 1.9) (52920, 6465) space_industrial 
Rh01_03_dsy_fightermoor: 5F (1.3, 2.0) (53187, 6198) dsy_fightermoor 
Rh01_03_hab_3: 5F (1.3, 2.0) (53470, 5915) dsy_research_habitat 
Rh01_03_mplatform_2: 5F (1.3, 2.0) (53475, 5920) mplatform 
Rh01_03_space_industrial_5: 5F (1.3, 2.0) (53120, 4690) space_industrial01 
Rh01_03_space_industrial_6: 5F (1.3, 2.0) (53505, 5075) space_industrial 
Rh01_03_solarplant_1: 5F (1.3, 2.0) (53490, 5075) space_solar_plant 
Rh01_03_space_industrial_7: 5F (1.3, 2.0) (53120, 4690) space_industrial02 
Rh01_03_space_tankl4_3: 5F (1.2, 1.9) (52500, 4280) space_tankl4x4 
Rh01_04: 5C (1.6, 2.6) (-43863, 11637) largestation1_old 
Rh01_depot_copper_1: 5C (1.7, 2.5) (-44491, 12328) depot_copper 
Rh01_depot_food_1: 5C (1.7, 2.5) (-44369, 12515) depot_food 
Rh01_depot_fertilizers_1: 5C (1.7, 2.5) (-44248, 12708) depot_fertilizers 
Rh01_05: 3D (2.3, 2.6) (-6779, -48007) space_factory01 
Rh01_mplatform_2: 3D (2.3, 2.6) (-7276, -49150) mplatform 
Rh01_space_industrial_11: 3D (2.3, 2.6) (-7269, -48511) space_industrial 
Rh01_space_tankl4x4_01: 3D (2.3, 2.6) (-7473, -48258) space_tankl4x4 
Rh01_space_tankl4x4_02: 3D (2.3, 2.6) (-7471, -48007) space_tankl4x4 
Rh01_space_tankl4x4_03: 3D (2.3, 2.6) (-7471, -47756) space_tankl4x4 
Rh01_06: 3D (2.3, 2.7) (-4622, -47973) space_mining01 
Rh01_mplatform_3: 3D (2.3, 2.8) (-4240, -48203) mplatform 
Rh01_space_industrial02_1: 3D (2.4, 2.8) (-4243, -47428) space_industrial02 
Rh01_space_industrial02_2: 3D (2.4, 2.8) (-3993, -47430) space_industrial02 
Rh01_space_habitat_wide_01: 3D (2.3, 2.8) (-3995, -47973) space_habitat_wide 
Rh01_space_habitat_wide_02: 3D (2.3, 2.8) (-4247, -47973) space_habitat_wide 
Rh01_space_tankl2_01: 3D (2.4, 2.8) (-4119, -47429) space_tankl2 
Rh01_07: 5C (1.6, 2.6) (-42609, 10616) outpost 
Rh01_space_tanks4_1: 4C (1.4, 2.2) (-51244, -27967) space_tanks4 
Rh01_space_tanks4_2: 4C (1.4, 2.1) (-51516, -27967) space_tanks4 
Rh01_09: 6D (1.5, 2.9) (-1187, 44589) r_battleship 
Rh01_10: 6D (1.6, 1.1) (-34430, 46788) miningbase_FragC 
Rh01_debris_med01_1: 4C (1.9, 2.3) (-48946, -20176) debris_med01 
Rh01_debris_med02_1: 4C (1.8, 2.3) (-49331, -22235) debris_med02 
Rh01_debris_xlarge01_1: 4C (1.6, 1.6) (-60752, -24747) debris_xlarge01 
Rh01_debris_med02_2: 4C (1.8, 2.3) (-49332, -22296) debris_med02 
Rh01_debris_med01_2: 4C (1.8, 2.0) (-54662, -21736) debris_med01 
Rh01_suprise_ge_fighter4_1: 3C (1.2, 2.3) (-48304, -67889) suprise_ge_fighter4 
Rh01_suprise_bw_elite_1: 3C (2.6, 2.8) (-39211, -43394) suprise_bw_elite 

[rh02 RH Hamburg 3.600000]
<跳跃>
IW Bering: 2F (2.2, 1.4) (43284, -86369) jumpgate_nodock 
IW Hudson: 2C (2.3, 2.8) (-40268, -83779) jumpgate 
RH New Berlin: 7E (1.8, 2.5) (26713, 86489) jumpgate 
IW Bering: 2E (2.8, 1.8) (13836, -76332) jumphole 
IW Hudson: 4C (1.2, 2.5) (-45099, -32273) jumphole 
RH New Berlin: 7E (1.2, 1.1) (1525, 75535) jumphole 
RH Koeln: 7C (1.9, 2.7) (-40897, 87901) jumphole 
RH Bremen: 3G (2.2, 2.4) (97963, -50225) jumphole 
<基地>
Rh02_Sun: 5E (1.0, 1.0) (0, 0) sun_2000 
Rh02_01: 4F (1.3, 1.6) (47383, -30196) planet_icewatind_3000 
Rh02_planet_Hannover: 6D (1.9, 1.3) (-30409, 52008) planet_gasblucld_3000 
Rh02_planet_Kiel: 3D (2.6, 1.5) (-26980, -43691) planet_icemoon_2000 
Rh02_dock_ring_1: 4F (1.3, 1.5) (44130, -30345) dock_ring 
Rh02_docking_fixture_1: 4F (1.3, 1.4) (44079, -30352) docking_fixture 
Rh02_02: 3D (2.4, 1.7) (-24053, -46722) r_battleship 
Rh02_03: 6D (1.8, 1.6) (-24681, 50806) prison 
Rh02_04: 5E (2.3, 2.9) (33590, 23407) space_factory01 
Rh02_shipyard_01: 5E (2.3, 2.9) (34078, 23154) shipyard 
Rh02_shipyard_02: 5E (2.3, 2.9) (34084, 23655) shipyard 
Rh02_shipyard_03: 5E (2.3, 2.9) (34080, 23250) shipyard 
Rh02_roidminer1: 5E (2.3, 2.9) (34080, 23250) roid_miner 
Rh02_transport1: 5E (2.3, 2.9) (34084, 23655) large_transport 
Rh02_transport2: 5E (2.3, 2.9) (33904, 23655) large_transport 
Rh02_transport3: 5E (2.3, 2.9) (34230, 23980) large_transport 
Rh02_04_dsy_quad_connector_01: 5E (2.3, 2.9) (34085, 23909) dsy_quad_connector 
Rh02_04_space_tanks4_01: 5E (2.3, 2.9) (34085, 24096) space_tanks4 
Rh02_04_space_tankl4x4_01: 5E (2.3, 2.9) (34085, 23897) space_tankl4x4 
Rh02_depot_toxic_waste_1: 5E (2.2, 2.9) (34568, 22115) depot_toxic_waste 
Rh02_depot_scrap_metal_1: 5E (2.2, 2.9) (34756, 22304) depot_scrap_metal 
Rh02_depot_basic_alloys_1: 5E (2.2, 2.9) (34954, 22488) depot_basic_alloys 
Rh02_05: 4F (1.3, 1.4) (43403, -29735) outpost 
Rh02_06: 7E (1.7, 2.5) (26479, 85066) space_police01 
Rh02_08: 4G (2.9, 1.1) (74528, -1851) space_factory01 
Rh02_suprise_li_elite_01: 2F (2.9, 2.3) (59433, -74210) suprise_li_elite 
Rh02_suprise_li_elite_02: 2D (2.4, 2.9) (-2241, -82484) suprise_li_elite 

[rh03 RH Stuttgart 3.600000]
<跳跃>
BW Omega-7: 4B (2.3, 1.9) (-91864, -12508) jumpgate 
BW Omega-11: 7D (1.9, 1.1) (-33739, 89085) jumpgate 
RH New Berlin: 3G (1.8, 1.1) (74606, -57610) jumpgate 
RH Koeln: 3B (1.7, 3.0) (-72500, -58600) jumpgate 
BW Omega-11: 6D (2.3, 1.1) (-34280, 59175) jumphole_orange 
RH Dresden: 4G (2.6, 1.2) (75983, -8068) jumphole_orange 
RH Koeln: 5C (1.5, 2.9) (-38000, 9000) jumphole_orange 
<基地>
Rh03_Sun: 5E (1.0, 1.0) (0, 0) sun_2000 
Rh03_01: 3E (2.6, 2.1) (20577, -43746) planet_earthgrnice_3000 
Rh03_02: 6E (1.5, 2.8) (33263, 45624) planet_watblucld_2000 
Rh03_planet_Breisgau: 3C (2.8, 2.8) (-40278, -40500) planet_icemoon_2000 
Rh03_Aalen_moon: 4E (1.1, 2.5) (27367, -34501) planet_moonblu_1000 
Rh03_01_docking_ring: 3E (2.7, 2.2) (20991, -40651) dock_ring 
Rh03_docking_fixture_1: 3E (2.7, 2.2) (20993, -40604) docking_fixture 
Rh03_02_docking_ring: 6E (1.5, 2.7) (31336, 44753) dock_ring 
Rh03_docking_fixture_2: 6E (1.5, 2.7) (31289, 44723) docking_fixture 
Rh03_03: 3C (2.9, 2.7) (-41200, -37300) smallstation1 
Rh03_space_tankl4x4_01: 3C (2.9, 2.7) (-40785, -37300) space_tankl4x4 
Rh03_space_tankl4x4_02: 3C (2.9, 2.7) (-41585, -37440) space_tankl4x4 
Rh03_04: 4B (2.3, 2.0) (-90448, -12679) space_police01 
